TableS3 predicted macrophage cis-regulatory elements ,,,,,,,,,
seqnames,start,end,width,strand,score,gene,peak,zscore,pvalue
chr5,142770384,143054739,284356,*,-0.06940434,ARHGAP26,chr5-143054507-143054971,-2.040967267,0.02062704
chr5,143862402,144170832,308431,*,0.052738042,KCTD16,chr5-143862216-143862588,4.088745096,2.17E-05
chr5,145826016,145936579,110564,*,0.073042202,SH3RF2,chr5-145825742-145826289,2.248234864,0.012280609
chr5,145835369,146006892,171524,*,0.052369027,PRELID2,chr5-146006171-146007613,2.784061148,0.002684146
chr5,145835369,146182655,347287,*,0.056064496,PRELID2,chr5-146181982-146183327,2.854480797,0.002155362
chr5,145854920,146182660,327741,*,0.054942361,LARS,chr5-145854673-145855167,4.196940839,1.35E-05
chr5,145916160,145936579,20420,*,0.231297739,SH3RF2,chr5-145915943-145916376,7.953331445,9.08E-16
chr5,145936579,145936658,80,*,0.059841976,SH3RF2,chr5-145936470-145936845,1.973514618,0.02421848
chr5,145936579,145946667,10089,*,0.164899043,SH3RF2,chr5-145946432-145946901,5.528619055,1.61E-08
chr5,145936579,145954122,17544,*,0.051840592,SH3RF2,chr5-145954023-145954220,1.656218708,0.048838768
chr5,145936579,145966088,29510,*,0.077877263,SH3RF2,chr5-145965901-145966275,1.830850476,0.033561432
chr5,145936579,145975708,39130,*,0.104592774,SH3RF2,chr5-145975548-145975867,3.218381914,0.00064458
chr5,145936579,145976806,40228,*,0.131210177,SH3RF2,chr5-145976510-145977101,6.329379484,1.23E-10
chr5,145936579,146006892,70314,*,0.078579458,SH3RF2,chr5-146006171-146007613,2.351796265,0.009341502
chr5,145936579,146039789,103211,*,0.104912061,SH3RF2,chr5-146039553-146040024,4.139804978,1.74E-05
chr5,145936579,146103674,167096,*,0.071760236,SH3RF2,chr5-146103516-146103832,2.965723327,0.00150986
chr5,145936579,146152200,215622,*,0.108831768,SH3RF2,chr5-146152022-146152378,3.073194675,0.001058901
chr5,146104369,146530225,425857,*,0.088358379,PLAC8L1,chr5-146530135-146530315,7.811023927,2.84E-15
chr5,146859329,147084784,225456,*,0.06249058,PPP2R2B,chr5-146859279-146859379,2.602154658,0.004632003
chr5,146860536,147084784,224249,*,0.105654981,PPP2R2B,chr5-146860274-146860797,5.038998248,2.34E-07
chr5,146890309,147084784,194476,*,0.055516635,PPP2R2B,chr5-146889990-146890627,2.361200315,0.009107944
chr5,147084784,147411239,326456,*,0.059260386,PPP2R2B,chr5-147411132-147411345,2.39695978,0.008265869
chr5,147084784,147415885,331102,*,0.11242478,PPP2R2B,chr5-147415644-147416125,5.710135035,5.64E-09
chr5,147084784,147428002,343219,*,0.068612374,PPP2R2B,chr5-147427611-147428392,2.82232472,0.002383844
chr5,147391017,147510056,119040,*,0.080446035,DPYSL3,chr5-147390931-147391102,4.864666081,5.73E-07
chr5,147396304,147510056,113753,*,0.051601378,DPYSL3,chr5-147395987-147396620,2.851798187,0.002173635
chr5,147401101,147510056,108956,*,0.071205912,DPYSL3,chr5-147401030-147401172,3.633442665,0.000139832
chr5,147415885,147510056,94172,*,0.093981751,DPYSL3,chr5-147415644-147416125,4.189462182,1.40E-05
chr5,147510056,147531128,21073,*,0.05905421,DPYSL3,chr5-147531065-147531191,2.53136457,0.005680984
chr5,147510056,147760411,250356,*,0.068768663,DPYSL3,chr5-147760173-147760648,3.771730424,8.11E-05
chr5,147510056,147768691,258636,*,0.057307694,DPYSL3,chr5-147768640-147768742,3.087259149,0.001010057
chr5,147689517,147782848,93332,*,0.050693707,JAKMIP2,chr5-147689363-147689670,3.793719863,7.42E-05
chr5,147694381,147782848,88468,*,0.056018956,JAKMIP2,chr5-147694150-147694611,3.848457958,5.94E-05
chr5,147696397,147782848,86452,*,0.056592439,JAKMIP2,chr5-147696175-147696618,3.817394425,6.74E-05
chr5,147782611,147782848,238,*,0.158002365,JAKMIP2,chr5-147782240-147782981,9.068395347,6.04E-20
chr5,147782848,147784550,1703,*,0.084836521,JAKMIP2,chr5-147784152-147784948,4.446561619,4.36E-06
chr5,147782848,147803456,20609,*,0.101359217,JAKMIP2,chr5-147803193-147803718,5.749882571,4.47E-09
chr5,147782848,147805105,22258,*,0.07890221,JAKMIP2,chr5-147804504-147805706,4.636337436,1.77E-06
chr5,147782848,147818495,35648,*,0.057572958,JAKMIP2,chr5-147818281-147818708,3.176298897,0.000745836
chr5,147782848,147822825,39978,*,0.056911244,JAKMIP2,chr5-147822634-147823016,3.286700715,0.000506843
chr5,147928278,148202794,274517,*,0.051606018,SPINK6,chr5-147927969-147928587,3.23293132,0.000612635
chr5,148012038,148383935,371898,*,0.064539842,FBXO38,chr5-148011595-148012481,2.949734956,0.001590233
chr5,148202794,148475788,272995,*,0.095651625,SPINK6,chr5-148475620-148475955,5.498208229,1.92E-08
chr5,148202794,148654328,451535,*,0.070063849,SPINK6,chr5-148653882-148654773,3.610404211,0.00015286
chr5,148383935,148410291,26357,*,0.05879404,FBXO38,chr5-148410086-148410496,2.997001266,0.001363248
chr5,148383935,148437467,53533,*,0.063658044,FBXO38,chr5-148437301-148437632,2.948203724,0.001598132
chr5,148383935,148793001,409067,*,0.060495064,FBXO38,chr5-148792620-148793381,2.446153047,0.007219485
chr5,148812007,149271871,459865,*,0.228519932,AFAP1L1,chr5-148811876-148812137,4.060770768,2.45E-05
chr5,148910883,149271871,360989,*,0.223138961,AFAP1L1,chr5-148910558-148911207,6.271952185,1.78E-10
chr5,148910883,149345430,434548,*,0.060250096,GRPEL2,chr5-148910558-148911207,3.363691452,0.000384537
chr5,148915146,149271871,356726,*,0.249779785,AFAP1L1,chr5-148914696-148915596,4.601797938,2.09E-06
chr5,148915146,149345430,430285,*,0.110011442,GRPEL2,chr5-148914696-148915596,5.025012941,2.52E-07
chr5,148934275,149271871,337597,*,0.185146484,AFAP1L1,chr5-148934131-148934418,3.928759211,4.27E-05
chr5,148934275,149345430,411156,*,0.08056994,GRPEL2,chr5-148934131-148934418,4.127946264,1.83E-05
chr5,148953811,149271871,318061,*,0.112331824,AFAP1L1,chr5-148953604-148954018,1.669516617,0.04750752
chr5,148979265,149345430,366166,*,0.053162094,GRPEL2,chr5-148979181-148979349,3.393600043,0.000344902
chr5,149039709,149271871,232163,*,0.081651296,AFAP1L1,chr5-149039594-149039823,1.699753068,0.044588691
chr5,149039709,149358007,318299,*,0.050679448,PCYOX1L,chr5-149039594-149039823,4.000235614,3.16E-05
chr5,149045260,149271871,226612,*,0.097538165,AFAP1L1,chr5-149045174-149045346,2.054976775,0.019940624
chr5,149063163,149471727,408565,*,0.058116954,SH3TC2,chr5-149471487-149471967,3.777597837,7.92E-05
chr5,149063163,149497701,434539,*,0.051903947,SH3TC2,chr5-149497494-149497908,3.36991834,0.000375952
chr5,149073803,149404202,330400,*,0.053842793,IL17B,chr5-149073188-149074417,4.662592285,1.56E-06
chr5,149113103,149271871,158769,*,0.067833042,AFAP1L1,chr5-149113039-149113166,1.648935377,0.049580437
chr5,149127086,149271871,144786,*,0.234148553,AFAP1L1,chr5-149126901-149127270,4.782743801,8.65E-07
chr5,149127086,149345430,218345,*,0.087021179,GRPEL2,chr5-149126901-149127270,3.919843447,4.43E-05
chr5,149131163,149271871,140709,*,0.107951609,AFAP1L1,chr5-149130975-149131350,1.84846608,0.032267473
chr5,149135652,149271871,136220,*,0.114656768,AFAP1L1,chr5-149135234-149136069,2.173841604,0.014858516
chr5,149141483,149141941,459,*,0.050684688,ABLIM3,chr5-149141209-149142672,2.487445564,0.006433207
chr5,149141483,149211729,70247,*,0.057829685,ABLIM3,chr5-149211640-149211817,3.581681221,0.000170695
chr5,149141483,149216188,74706,*,0.078451603,ABLIM3,chr5-149215568-149216807,4.348777989,6.84E-06
chr5,149141483,149229136,87654,*,0.053761678,ABLIM3,chr5-149228770-149229502,2.815670385,0.002433779
chr5,149141483,149265871,124389,*,0.054561887,ABLIM3,chr5-149265533-149266209,3.050851761,0.001140966
chr5,149154247,149271871,117625,*,0.107866384,AFAP1L1,chr5-149153644-149154849,1.72387316,0.042365372
chr5,149166299,149271871,105573,*,0.174970216,AFAP1L1,chr5-149166178-149166419,3.524032964,0.000212516
chr5,149166299,149345430,179132,*,0.076600084,GRPEL2,chr5-149166178-149166419,3.34195666,0.00041595
chr5,149166299,149551947,385649,*,0.055826432,ARHGEF37,chr5-149166178-149166419,3.389299931,0.000350357
chr5,149241933,149271871,29939,*,0.090154097,AFAP1L1,chr5-149241875-149241991,3.585293197,0.00016835
chr5,149265871,149271871,6001,*,0.11023013,AFAP1L1,chr5-149265533-149266209,1.900004085,0.028716292
chr5,149271871,149272026,156,*,0.153281508,AFAP1L1,chr5-149271348-149272703,5.436244406,2.72E-08
chr5,149271871,149275169,3299,*,0.096042459,AFAP1L1,chr5-149275115-149275223,2.366670156,0.008974461
chr5,149271871,149278885,7015,*,0.145903915,AFAP1L1,chr5-149277762-149280007,2.664091486,0.003859828
chr5,149271871,149299430,27560,*,0.101770946,AFAP1L1,chr5-149298974-149299886,1.905548302,0.028354418
chr5,149271871,149324890,53020,*,0.181585243,AFAP1L1,chr5-149324783-149324996,4.516674892,3.14E-06
chr5,149271871,149414549,142679,*,0.067680953,AFAP1L1,chr5-149414496-149414601,2.010616179,0.022183007
chr5,149271871,149442806,170936,*,0.07418355,AFAP1L1,chr5-149442446-149443166,1.732377024,0.041603228
chr5,149271871,149466565,194695,*,0.143825414,AFAP1L1,chr5-149466256-149466873,2.926708427,0.001712849
chr5,149271871,149482035,210165,*,0.109122084,AFAP1L1,chr5-149481939-149482131,1.863314697,0.031209002
chr5,149271871,149632442,360572,*,0.139249023,AFAP1L1,chr5-149632028-149632856,2.425972818,0.007633707
chr5,149271871,149675925,404055,*,0.117108263,AFAP1L1,chr5-149675799-149676051,1.913660591,0.027831769
chr5,149271871,149749829,477959,*,0.184016979,AFAP1L1,chr5-149749283-149750375,2.984521834,0.00142011
chr5,149271871,149767171,495301,*,0.111044089,AFAP1L1,chr5-149767015-149767327,1.731909054,0.041644878
chr5,149299430,149345430,46001,*,0.053267004,GRPEL2,chr5-149298974-149299886,2.154840139,0.015587173
chr5,149312035,149345430,33396,*,0.058876629,GRPEL2,chr5-149311934-149312135,2.548509914,0.005409211
chr5,149312035,149404202,92168,*,0.105215878,IL17B,chr5-149311934-149312135,10.49290764,4.66E-26
chr5,149345430,149466565,121136,*,0.059469577,GRPEL2,chr5-149466256-149466873,2.819666243,0.002403681
chr5,149345430,149632442,287013,*,0.059821176,GRPEL2,chr5-149632028-149632856,2.472051017,0.006717017
chr5,149345430,149724637,379208,*,0.051042254,GRPEL2,chr5-149724545-149724728,2.318663709,0.010206639
chr5,149345430,149749829,404400,*,0.069196343,GRPEL2,chr5-149749283-149750375,3.005717699,0.001324774
chr5,149345430,149776718,431289,*,0.083347116,GRPEL2,chr5-149776474-149776962,4.137025301,1.76E-05
chr5,149345430,149811073,465644,*,0.056844782,GRPEL2,chr5-149810902-149811243,1.853022337,0.031939579
chr5,149429072,149730298,301227,*,-0.056394692,PPARGC1B,chr5-149428746-149429398,-3.410709064,0.000323971
chr5,149457090,149730298,273209,*,0.056261507,PPARGC1B,chr5-149456978-149457202,3.805196921,7.08E-05
chr5,149457090,149944793,487704,*,0.054070181,PDE6A,chr5-149456978-149457202,4.284666642,9.15E-06
chr5,149551552,149561906,10355,*,0.053616269,CSNK1A1,chr5-149561478-149562334,3.340317855,0.000418413
chr5,149551947,150023344,471398,*,0.059838163,ARHGEF37,chr5-150023258-150023430,3.602914858,0.000157334
chr5,149551947,150034842,482896,*,0.075676625,ARHGEF37,chr5-150034717-150034967,5.51947545,1.70E-08
chr5,149632442,149730298,97857,*,0.061112225,PPARGC1B,chr5-149632028-149632856,4.402574409,5.35E-06
chr5,149632442,150000046,367605,*,0.053988042,HMGXB3,chr5-149632028-149632856,3.178598183,0.000739945
chr5,149724637,150189957,465321,*,0.127990176,SLC6A7,chr5-149724545-149724728,2.800923087,0.002547833
chr5,149749829,150000046,250218,*,0.052314511,HMGXB3,chr5-149749283-149750375,2.761342038,0.002878218
chr5,149749829,150189957,440129,*,0.08955228,SLC6A7,chr5-149749283-149750375,2.264406581,0.01177456
chr5,149776718,150189957,413240,*,0.129853544,SLC6A7,chr5-149776474-149776962,3.058007368,0.00111407
chr5,149790533,150189957,399425,*,0.077678721,SLC6A7,chr5-149790483-149790583,2.203638837,0.013774877
chr5,149824286,150189957,365672,*,0.072885682,SLC6A7,chr5-149824232-149824340,1.742322667,0.040726
chr5,149851913,150001167,149255,*,0.051525658,TIGD6,chr5-149851780-149852045,3.77333288,8.05E-05
chr5,149857785,150113372,255588,*,0.05354262,CSF1R,chr5-149857473-149858097,2.568821424,0.005102251
chr5,149960737,150383345,422609,*,0.060804068,SLC26A2,chr5-150383182-150383507,5.001962106,2.84E-07
chr5,150010230,150189957,179728,*,0.064772891,SLC6A7,chr5-150010094-150010365,2.229738492,0.012882404
chr5,150023344,150189957,166614,*,0.082486316,SLC6A7,chr5-150023258-150023430,2.634962118,0.004207334
chr5,150053155,150485818,432664,*,0.054660633,NDST1,chr5-150052434-150053876,3.254788643,0.000567384
chr5,150065500,150485818,420319,*,0.06024734,NDST1,chr5-150064600-150066399,3.175531513,0.000747811
chr5,150106349,150412929,306581,*,-0.054230899,CD74,chr5-150105817-150106881,-2.224720407,0.013050007
chr5,150112919,150412929,300011,*,-0.057030992,CD74,chr5-150112259-150113579,-2.144136412,0.016010979
chr5,150113372,150196404,83033,*,-0.055662519,CSF1R,chr5-150195778-150197030,-3.083975103,0.001021273
chr5,150113372,150295397,182026,*,-0.069250704,CSF1R,chr5-150295239-150295555,-4.603050258,2.08E-06
chr5,150113372,150411617,298246,*,0.056856989,CSF1R,chr5-150409829-150413405,2.909722942,0.001808746
chr5,150113372,150449322,335951,*,0.063210089,CSF1R,chr5-150448424-150450219,3.042238001,0.001174131
chr5,150113372,150486255,372884,*,0.056033099,CSF1R,chr5-150485469-150487041,2.70904525,0.003373857
chr5,150113372,150542146,428775,*,-0.066530296,CSF1R,chr5-150541910-150542382,-3.349803963,0.000404344
chr5,150124589,150189957,65369,*,0.068782404,SLC6A7,chr5-150124365-150124812,2.369883374,0.008896849
chr5,150160010,150189957,29948,*,0.072475854,SLC6A7,chr5-150159728-150160291,2.035463052,0.020902151
chr5,150186537,150189957,3421,*,0.085926133,SLC6A7,chr5-150186487-150186587,2.099814213,0.017872594
chr5,150189957,150190042,86,*,0.073621384,SLC6A7,chr5-150189829-150190254,2.55529018,0.005304965
chr5,150189957,150196404,6448,*,0.20853274,SLC6A7,chr5-150195778-150197030,7.446519368,4.79E-14
chr5,150189957,150227623,37667,*,0.145275883,SLC6A7,chr5-150227169-150228077,4.004625447,3.11E-05
chr5,150189957,150295397,105441,*,0.171771331,SLC6A7,chr5-150295239-150295555,7.305963298,1.38E-13
chr5,150189957,150299287,109331,*,0.081533884,SLC6A7,chr5-150298945-150299629,1.71706423,0.042983719
chr5,150189957,150317378,127422,*,0.094283217,SLC6A7,chr5-150317157-150317599,2.568690786,0.005104175
chr5,150189957,150542146,352190,*,0.142021121,SLC6A7,chr5-150541910-150542382,3.4874402,0.000243834
chr5,150189957,150543137,353181,*,0.135023933,SLC6A7,chr5-150542959-150543315,4.194334611,1.37E-05
chr5,150189957,150569709,379753,*,0.091591092,SLC6A7,chr5-150569654-150569764,2.928817272,0.001701272
chr5,150189957,150576794,386838,*,0.051916265,SLC6A7,chr5-150576697-150576891,1.860485068,0.031408465
chr5,150189957,150610207,420251,*,0.078493722,SLC6A7,chr5-150609871-150610542,2.299851141,0.010728327
chr5,150196404,150412929,216526,*,-0.085692271,CD74,chr5-150195778-150197030,-3.946638766,3.96E-05
chr5,150295397,150412929,117533,*,-0.102952425,CD74,chr5-150295239-150295555,-5.576892731,1.22E-08
chr5,150295397,150777946,482550,*,0.05418338,SMIM3,chr5-150295239-150295555,4.102376613,2.04E-05
chr5,150357639,150399157,41519,*,0.052435024,TCOF1,chr5-150398153-150400161,2.873942911,0.002026911
chr5,150357639,150411617,53979,*,0.089246799,TCOF1,chr5-150409829-150413405,6.123710339,4.57E-10
chr5,150357844,150412929,55086,*,0.053971432,CD74,chr5-150357231-150358457,2.466286914,0.006826097
chr5,150357844,150449756,91913,*,0.053694833,RPS14,chr5-150357231-150358457,2.18647796,0.014390328
chr5,150397218,150412929,15712,*,0.082983296,CD74,chr5-150397084-150397351,3.587360044,0.000167021
chr5,150399157,150412929,13773,*,0.168604473,CD74,chr5-150398153-150400161,6.918448529,2.28E-12
chr5,150399157,150449756,50600,*,0.05133591,RPS14,chr5-150398153-150400161,2.110406576,0.017411675
chr5,150411617,150412929,1313,*,0.106373936,CD74,chr5-150409829-150413405,4.83440301,6.68E-07
chr5,150412929,150449322,36394,*,0.053280776,CD74,chr5-150448424-150450219,2.449236978,0.007157961
chr5,150412929,150542146,129218,*,-0.106916244,CD74,chr5-150541910-150542382,-3.662312782,0.000124974
chr5,150412929,150543137,130209,*,-0.061638086,CD74,chr5-150542959-150543315,-3.658565003,0.000126816
chr5,150412929,150640792,227864,*,-0.052825197,CD74,chr5-150640289-150641295,-2.609361041,0.004535574
chr5,150412929,150762366,349438,*,-0.063914648,CD74,chr5-150762240-150762491,-2.525309708,0.005779818
chr5,150412929,150777819,364891,*,-0.066728745,CD74,chr5-150777721-150777917,-2.562193241,0.005200671
chr5,150412929,150780298,367370,*,-0.058337553,CD74,chr5-150779963-150780633,-2.497091394,0.006260834
chr5,150412929,150781021,368093,*,-0.060672058,CD74,chr5-150780866-150781175,-2.295306812,0.010857774
chr5,150449322,150449756,435,*,0.064625801,RPS14,chr5-150448424-150450219,3.257773958,0.000561449
chr5,150449756,150497771,48016,*,0.051048616,RPS14,chr5-150497671-150497871,3.018801596,0.001268883
chr5,150485818,150488631,2814,*,0.052254099,NDST1,chr5-150488351-150488910,2.859730711,0.002120004
chr5,150542146,150777946,235801,*,0.063954533,SMIM3,chr5-150541910-150542382,3.559204264,0.00018599
chr5,150777946,151256091,478146,*,0.051122476,SMIM3,chr5-151255987-151256194,2.804869907,0.002516845
chr5,150846523,151035035,188513,*,0.065591036,IRGM,chr5-151034911-151035159,3.868049401,5.49E-05
chr5,150846523,151195873,349351,*,0.056747674,IRGM,chr5-151195705-151196040,5.378617979,3.75E-08
chr5,150860524,151212150,351627,*,0.057704719,GM2A,chr5-150860418-150860630,2.311577002,0.010400503
chr5,150862255,151212150,349896,*,0.059116411,GM2A,chr5-150861974-150862535,2.549363747,0.005395984
chr5,150904914,150904983,70,*,0.06035615,ZNF300,chr5-150904477-150905350,3.535786415,0.000203282
chr5,150904983,151244687,339705,*,0.05685115,ZNF300,chr5-151244517-151244856,3.587631292,0.000166848
chr5,151020438,151214809,194372,*,0.051468951,GPX3,chr5-151213826-151215791,3.427664087,0.000304399
chr5,151020438,151500752,480315,*,0.053348412,GPX3,chr5-151500463-151501041,3.332956862,0.000429641
chr5,151093577,151271266,177690,*,0.051732627,TNIP1,chr5-151270604-151271927,3.880028755,5.22E-05
chr5,151157882,151569409,411528,*,-0.054265513,ANXA6,chr5-151569194-151569624,-3.057965328,0.001114227
chr5,151195873,151212150,16278,*,0.077231501,GM2A,chr5-151195705-151196040,3.630119448,0.000141645
chr5,151208836,151687165,478330,*,0.050605391,SPARC,chr5-151208234-151209438,2.142271085,0.016085837
chr5,151212150,151234970,22821,*,0.0715904,GM2A,chr5-151234605-151235335,2.95062336,0.001585667
chr5,151212150,151256091,43942,*,0.102215549,GM2A,chr5-151255987-151256194,4.139570525,1.74E-05
chr5,151212150,151258481,46332,*,0.065863303,GM2A,chr5-151257707-151259255,2.577042775,0.004982481
chr5,151212150,151333027,120878,*,0.064633296,GM2A,chr5-151332958-151333095,3.224335578,0.000631327
chr5,151212150,151347233,135084,*,0.069949588,GM2A,chr5-151347134-151347332,3.290907129,0.000499324
chr5,151212150,151490842,278693,*,0.059291791,GM2A,chr5-151490764-151490919,2.75589827,0.00292656
chr5,151212150,151569409,357260,*,0.067140899,GM2A,chr5-151569194-151569624,2.413831757,0.007892875
chr5,151214809,151687165,472357,*,0.05011869,SPARC,chr5-151213826-151215791,2.298096816,0.01077814
chr5,151249476,151303766,54291,*,0.064344469,SLC36A3,chr5-151249409-151249543,4.883179094,5.22E-07
chr5,151253030,151687165,434136,*,0.051420874,SPARC,chr5-151252175-151253884,2.037102119,0.020819905
chr5,151271266,151687165,415900,*,0.070303746,SPARC,chr5-151270604-151271927,4.244990512,1.09E-05
chr5,151271266,151771045,499780,*,0.059070492,G3BP1,chr5-151270604-151271927,4.301505495,8.48E-06
chr5,151660756,151687165,26410,*,0.051870531,SPARC,chr5-151660663-151660848,3.012962201,0.001293556
chr5,151687051,151687165,115,*,0.070096824,SPARC,chr5-151686684-151687417,3.12245895,0.000896736
chr5,151687165,151758420,71256,*,0.051706286,SPARC,chr5-151757668-151759171,1.98433808,0.023609082
chr5,151687165,151771902,84738,*,0.050461386,SPARC,chr5-151770457-151773347,1.890136272,0.029369869
chr5,153148567,153223543,74977,*,0.051343975,LINC01470,chr5-153148493-153148641,3.480841041,0.000249921
chr5,154755936,154857553,101618,*,0.050813004,CNOT8,chr5-154754451-154757420,2.145227725,0.015967322
chr5,154857553,154970864,113312,*,0.05417307,CNOT8,chr5-154970602-154971125,3.177143302,0.000743668
chr5,156476056,156963255,487200,*,0.0608588,TIMD4,chr5-156475980-156476131,2.426307187,0.007626677
chr5,156896716,156963255,66540,*,0.106844645,TIMD4,chr5-156896657-156896774,4.20785531,1.29E-05
chr5,156963255,157153547,190293,*,0.070384252,TIMD4,chr5-157153429-157153664,3.015253314,0.001283824
chr5,156963255,157212456,249202,*,0.097688104,TIMD4,chr5-157212142-157212769,3.822911388,6.59E-05
chr5,156963255,157443281,480027,*,0.097898216,TIMD4,chr5-157443156-157443406,3.342410974,0.00041527
chr5,157059119,157100597,41479,*,0.078605885,HAVCR1,chr5-157100142-157101051,2.560545773,0.005225395
chr5,157059119,157153547,94429,*,0.053834364,HAVCR1,chr5-157153429-157153664,1.732394946,0.041601634
chr5,157059119,157328522,269404,*,0.058045075,HAVCR1,chr5-157328150-157328894,1.727536953,0.042035637
chr5,157059119,157555463,496345,*,0.055434545,HAVCR1,chr5-157555014-157555912,1.924688748,0.027134154
chr5,157100597,157142869,42273,*,0.089349451,HAVCR2,chr5-157100142-157101051,4.150291995,1.66E-05
chr5,157109479,157142869,33391,*,0.061788374,HAVCR2,chr5-157108832-157110126,2.498110148,0.00624287
chr5,157142869,157494669,351801,*,0.066128739,HAVCR2,chr5-157494388-157494950,2.913894375,0.001784753
chr5,157142933,157272031,129099,*,0.196417269,ITK,chr5-157271813-157272249,31.74337042,1.96E-221
chr5,157159019,157266259,107241,*,0.050636053,MED7,chr5-157265676-157266842,3.313752052,0.000460265
chr5,157253213,157266079,12867,*,0.053442226,CYFIP2,chr5-157252512-157253913,3.640202937,0.000136212
chr5,157266079,157272031,5953,*,0.057151652,CYFIP2,chr5-157271813-157272249,4.274674872,9.57E-06
chr5,157443281,157671480,228200,*,0.07263206,SOX30,chr5-157443156-157443406,5.502274967,1.87E-08
chr5,157558670,157671480,112811,*,0.059353424,SOX30,chr5-157558426-157558914,3.811898717,6.90E-05
chr5,158954041,159099761,145721,*,0.062008473,EBF1,chr5-158953714-158954367,6.684490497,1.16E-11
chr5,159210053,159240540,30488,*,0.074757746,RNF145,chr5-159240165-159240915,4.852473435,6.10E-07
chr5,159601438,159761061,159624,*,0.147448596,AC008691.1,chr5-159601388-159601488,7.700655022,6.77E-15
chr5,159773485,160009113,235629,*,0.050456446,TTC1,chr5-159772995-159773974,2.974709881,0.001466329
chr5,160098221,160468268,370048,*,0.054787002,MIR3142HG,chr5-160097908-160098533,1.865082701,0.031084906
chr5,160119423,160165696,46274,*,0.069712446,PWWP2A,chr5-160164901-160166491,5.085679306,1.83E-07
chr5,160370439,160421822,51384,*,0.059917684,PTTG1,chr5-160370072-160370805,1.939385875,0.026227185
chr5,160400097,160500017,99921,*,0.051503538,ZBED8,chr5-160499883-160500150,4.655493436,1.62E-06
chr5,160419093,160421822,2730,*,0.05100181,PTTG1,chr5-160418333-160419852,1.936668894,0.026392915
chr5,160421822,160422039,218,*,0.076669919,PTTG1,chr5-160421651-160422427,2.696821693,0.003500237
chr5,160421822,160467635,45814,*,0.068944205,PTTG1,chr5-160466780-160468490,2.41914737,0.007778468
chr5,160421822,160695121,273300,*,0.051745278,PTTG1,chr5-160694641-160695601,2.142889636,0.016060981
chr5,160421822,160702573,280752,*,0.067818526,PTTG1,chr5-160701558-160703588,3.040514681,0.001180871
chr5,160435742,160468268,32527,*,0.078804795,MIR3142HG,chr5-160435642-160435841,2.193949611,0.014119516
chr5,160435742,160852214,416473,*,0.069863223,ATP10B,chr5-160435642-160435841,2.713332348,0.003330513
chr5,160436972,160468268,31297,*,0.084195197,MIR3142HG,chr5-160436653-160437291,2.905298899,0.001834513
chr5,160446113,160468268,22156,*,0.086950199,MIR3142HG,chr5-160445926-160446299,3.381031306,0.000361072
chr5,160452840,160468268,15429,*,0.064874161,MIR3142HG,chr5-160452221-160453459,2.164790208,0.015201878
chr5,160459196,160468268,9073,*,0.120439434,MIR3142HG,chr5-160458797-160459595,3.789469754,7.55E-05
chr5,160459196,160852214,393019,*,0.10721594,ATP10B,chr5-160458797-160459595,4.834296376,6.68E-07
chr5,160468268,160547268,79001,*,0.064789722,MIR3142HG,chr5-160547197-160547338,2.633618514,0.004224017
chr5,160468268,160565615,97348,*,0.076347435,MIR3142HG,chr5-160565534-160565695,3.389382961,0.000350251
chr5,160468268,160786998,318731,*,0.11402226,MIR3142HG,chr5-160786861-160787135,3.694291996,0.00011025
chr5,160468268,160824942,356675,*,0.063774852,MIR3142HG,chr5-160824379-160825504,2.549922457,0.005387344
chr5,160468268,160938710,470443,*,0.090276225,MIR3142HG,chr5-160938575-160938845,2.955947603,0.00155855
chr5,160565615,160852214,286600,*,0.061470402,ATP10B,chr5-160565534-160565695,3.458493069,0.000271603
chr5,160852214,161234776,382563,*,0.052149998,ATP10B,chr5-161234722-161234829,3.061079942,0.001102701
chr5,161193243,161549044,355802,*,0.111847379,GABRB2,chr5-161193142-161193344,11.0566394,1.02E-28
chr5,163437569,163460325,22757,*,0.051071438,CCNG1,chr5-163459577-163461073,3.6947026,0.000110072
chr5,163437645,163460203,22559,*,0.078677549,HMMR,chr5-163437079-163438210,1.790821789,0.036660949
chr5,163460203,163460325,123,*,0.145863944,HMMR,chr5-163459577-163461073,4.132519065,1.79E-05
chr5,163460203,163504528,44326,*,0.09282861,HMMR,chr5-163504173-163504883,3.095624445,0.000981995
chr5,163460203,163505737,45535,*,0.10302495,HMMR,chr5-163505217-163506257,2.438081472,0.007382723
chr5,163460203,163893511,433309,*,0.054982448,HMMR,chr5-163893461-163893561,4.037014897,2.71E-05
chr5,167899662,168291651,391990,*,0.055537319,WWC1,chr5-167899524-167899799,2.494951923,0.00629871
chr5,168214393,168291651,77259,*,0.070153865,WWC1,chr5-168214056-168214730,2.201977073,0.013833464
chr5,168227170,168291651,64482,*,0.061751447,WWC1,chr5-168227111-168227228,2.27526652,0.011444973
chr5,168291651,168291919,269,*,0.050181937,WWC1,chr5-168291417-168292421,2.512563594,0.005992875
chr5,168291651,168312703,21053,*,0.051089037,WWC1,chr5-168312639-168312767,2.053214749,0.020025877
chr5,168291651,168315059,23409,*,0.161060048,WWC1,chr5-168314853-168315265,9.286346708,7.98E-21
chr5,168291651,168317646,25996,*,0.058398254,WWC1,chr5-168317449-168317842,3.814975571,6.81E-05
chr5,168291651,168325095,33445,*,0.070855635,WWC1,chr5-168325044-168325146,2.510835983,0.006022282
