TableS2 marker genes of macrophage subpopulations identified by single-cell multi-omics,,,,,,,
gene,cluster,pct.1,pct.2,avg_log2FC,p_val,p_val_adj,
DNMBP,PCSK6-hi MΦ,0.521,0.422,0.120052479,7.47E-07,0.027336192,
MARVELD1,PCSK6-hi MΦ,0.165,0.112,0.055354682,7.55E-07,0.027640964,
DENND1B,PCSK6-hi MΦ,0.917,0.9,0.20723087,7.60E-07,0.02782423,
P4HA2,PCSK6-hi MΦ,0.138,0.083,0.046165857,8.05E-07,0.029453149,
GON4L,PCSK6-hi MΦ,0.691,0.609,0.148570879,8.48E-07,0.031048245,
CLIP2,PCSK6-hi MΦ,0.357,0.27,0.135856213,8.78E-07,0.032126114,
GAB2,PCSK6-hi MΦ,0.969,0.969,0.173804087,8.85E-07,0.032386208,
TAOK1,PCSK6-hi MΦ,0.886,0.858,0.16161006,8.90E-07,0.032589328,
ACP2,PCSK6-hi MΦ,0.401,0.329,0.066470073,8.94E-07,0.032719259,
JARID2,PCSK6-hi MΦ,0.93,0.91,0.234923531,9.06E-07,0.033143994,
VPS9D1,PCSK6-hi MΦ,0.402,0.301,0.096976557,9.30E-07,0.034025207,
AP001972.4,PCSK6-hi MΦ,0.339,0.233,0.118193388,9.64E-07,0.035292084,
PFKFB3,PCSK6-hi MΦ,0.705,0.623,0.176022716,9.73E-07,0.03561135,
RPS19,PCSK6-hi MΦ,0.651,0.67,0.070719989,1.02E-06,0.037415341,
AGO2,PCSK6-hi MΦ,0.55,0.453,0.115542255,1.08E-06,0.03955179,
INF2,PCSK6-hi MΦ,0.389,0.295,0.095823013,1.09E-06,0.039730464,
TNFSF8,PCSK6-hi MΦ,0.613,0.544,0.136192365,1.16E-06,0.042361379,
ALDH4A1,PCSK6-hi MΦ,0.226,0.15,0.073296556,1.16E-06,0.042436335,
PABPN1,PCSK6-hi MΦ,0.629,0.539,0.129337917,1.22E-06,0.044706888,
ABL1,PCSK6-hi MΦ,0.817,0.765,0.18001973,1.34E-06,0.049055861,
NPC1,PCSK6-hi MΦ,0.829,0.795,0.229047761,1.35E-06,0.049472146,
HCLS1,PCSK6-hi MΦ,0.808,0.783,0.108880363,1.41E-06,0.051597847,
ACAP3,PCSK6-hi MΦ,0.325,0.24,0.094209614,1.44E-06,0.052817933,
CRK,PCSK6-hi MΦ,0.631,0.547,0.130542266,1.47E-06,0.053725125,
PWWP2A,PCSK6-hi MΦ,0.496,0.396,0.130738713,1.51E-06,0.055275258,
ETV6,PCSK6-hi MΦ,0.989,0.986,0.164087229,1.51E-06,0.055299936,
OSBPL3,PCSK6-hi MΦ,0.904,0.869,0.161860823,1.53E-06,0.056102205,
MSANTD3,PCSK6-hi MΦ,0.305,0.215,0.110708056,1.60E-06,0.058619131,
UBAP1,PCSK6-hi MΦ,0.709,0.633,0.159315803,1.61E-06,0.05876628,
TMEM63B,PCSK6-hi MΦ,0.306,0.22,0.092403193,1.61E-06,0.058917992,
RGS10,PCSK6-hi MΦ,0.559,0.486,0.110591898,1.66E-06,0.060833371,
TRAF3IP3,PCSK6-hi MΦ,0.325,0.244,0.111732936,1.68E-06,0.061617697,
HLA-DQB1,PCSK6-hi MΦ,0.437,0.361,0.052389437,1.76E-06,0.064476173,
PTPN22,PCSK6-hi MΦ,0.741,0.675,0.150009335,1.78E-06,0.064977577,
DLGAP1,PCSK6-hi MΦ,0.265,0.184,0.111593527,1.79E-06,0.065376488,
PACC1,PCSK6-hi MΦ,0.576,0.5,0.134935548,1.81E-06,0.066082477,
APBB1IP,PCSK6-hi MΦ,0.94,0.926,0.161961294,1.82E-06,0.066708395,
OGDH,PCSK6-hi MΦ,0.851,0.81,0.121561716,1.85E-06,0.067679876,
S100A6,PCSK6-hi MΦ,0.785,0.841,0.174922635,1.85E-06,0.067820474,
RPS6KA2,PCSK6-hi MΦ,0.846,0.795,0.177820102,1.88E-06,0.068798393,
SPTBN5,PCSK6-hi MΦ,0.154,0.087,0.064880939,1.88E-06,0.068934416,
RPS17,PCSK6-hi MΦ,0.52,0.533,0.066933322,1.93E-06,0.070602323,
PLD2,PCSK6-hi MΦ,0.219,0.148,0.089667458,2.02E-06,0.074045363,
SPIRE1,PCSK6-hi MΦ,0.876,0.841,0.169179397,2.03E-06,0.074262897,
PPIC,PCSK6-hi MΦ,0.14,0.088,0.040788255,2.08E-06,0.076049918,
ARL17B,PCSK6-hi MΦ,0.621,0.545,0.159423934,2.17E-06,0.079533148,
CERS4,PCSK6-hi MΦ,0.171,0.109,0.082977554,2.20E-06,0.080638433,
STK40,PCSK6-hi MΦ,0.58,0.496,0.124898629,2.21E-06,0.080870547,
GHRLOS,PCSK6-hi MΦ,0.123,0.072,0.055677576,2.24E-06,0.081970311,
PLXNB2,PCSK6-hi MΦ,0.645,0.595,0.087657729,2.24E-06,0.082094822,
ANTXR2,PCSK6-hi MΦ,0.906,0.866,0.147587185,2.29E-06,0.083641254,
DGKH,PCSK6-hi MΦ,0.813,0.752,0.189615105,2.32E-06,0.084934587,
CD82,PCSK6-hi MΦ,0.651,0.592,0.093451236,2.40E-06,0.087736955,
CYTOR,PCSK6-hi MΦ,0.72,0.639,0.144892427,2.41E-06,0.088242225,
CYFIP2,PCSK6-hi MΦ,0.151,0.1,0.085376115,2.56E-06,0.093855572,
HCST,PCSK6-hi MΦ,0.539,0.592,0.116729083,2.64E-06,0.096788916,
AC016831.7,PCSK6-hi MΦ,0.45,0.353,0.130304929,2.65E-06,0.096873343,
PPP6R2,PCSK6-hi MΦ,0.867,0.817,0.150161849,2.67E-06,0.097849302,
SYVN1,PCSK6-hi MΦ,0.183,0.12,0.049019627,2.71E-06,0.099300985,
SGMS1,FUCA1-hi MΦ-1,0.985,0.956,0.579979004,9.77E-70,3.58E-65,
WWP1,FUCA1-hi MΦ-1,0.942,0.883,0.586349112,1.25E-60,4.59E-56,
FUCA1,FUCA1-hi MΦ-1,0.962,0.865,0.647896744,2.76E-57,1.01E-52,
SELENOP,FUCA1-hi MΦ-1,0.89,0.767,0.628398871,3.17E-47,1.16E-42,
DAB2,FUCA1-hi MΦ-1,0.976,0.947,0.384257233,5.48E-39,2.01E-34,
SLC9A9,FUCA1-hi MΦ-1,0.98,0.944,0.414812409,2.90E-38,1.06E-33,
NPL,FUCA1-hi MΦ-1,0.996,0.984,0.283642016,3.99E-37,1.46E-32,
IQGAP2,FUCA1-hi MΦ-1,0.972,0.953,0.351039171,5.78E-36,2.12E-31,
TRPS1,FUCA1-hi MΦ-1,0.995,0.986,0.279044758,2.07E-34,7.59E-30,
MS4A6A,FUCA1-hi MΦ-1,0.713,0.532,0.500339457,7.56E-34,2.77E-29,
ALDH1A1,FUCA1-hi MΦ-1,0.471,0.309,0.464917275,1.31E-33,4.80E-29,
MYO5A,FUCA1-hi MΦ-1,0.997,0.991,0.236926336,2.60E-31,9.52E-27,
DMXL1,FUCA1-hi MΦ-1,0.949,0.922,0.317116311,2.89E-30,1.06E-25,
LGMN,FUCA1-hi MΦ-1,0.97,0.924,0.437229763,6.74E-30,2.47E-25,
WDFY3,FUCA1-hi MΦ-1,0.989,0.981,0.261556338,1.62E-29,5.94E-25,
F13A1,FUCA1-hi MΦ-1,0.723,0.591,0.697688023,6.88E-29,2.52E-24,
STARD13,FUCA1-hi MΦ-1,0.967,0.944,0.361641435,7.40E-29,2.71E-24,
FOXN3,FUCA1-hi MΦ-1,0.97,0.958,0.304765688,1.04E-28,3.79E-24,
GNAQ,FUCA1-hi MΦ-1,0.993,0.988,0.209742761,1.52E-28,5.56E-24,
SAT1,FUCA1-hi MΦ-1,0.98,0.958,0.283145773,3.62E-28,1.32E-23,
MAP3K1,FUCA1-hi MΦ-1,0.931,0.887,0.319685002,2.29E-27,8.36E-23,
IGF1,FUCA1-hi MΦ-1,0.696,0.535,0.489023524,2.50E-27,9.15E-23,
ATP8A1,FUCA1-hi MΦ-1,0.64,0.543,0.427884124,4.05E-27,1.48E-22,
LPAR6,FUCA1-hi MΦ-1,0.921,0.863,0.363853254,4.15E-27,1.52E-22,
SNX24,FUCA1-hi MΦ-1,0.944,0.927,0.340810092,9.31E-27,3.41E-22,
SIGLEC1,FUCA1-hi MΦ-1,0.899,0.792,0.301899112,2.07E-26,7.58E-22,
ITPR2,FUCA1-hi MΦ-1,0.979,0.959,0.328799972,3.89E-26,1.42E-21,
SAMSN1,FUCA1-hi MΦ-1,0.927,0.858,0.362253942,1.02E-25,3.72E-21,
QKI,FUCA1-hi MΦ-1,0.996,0.996,0.199992307,3.64E-25,1.33E-20,
MGAT4A,FUCA1-hi MΦ-1,0.872,0.79,0.327124654,5.01E-25,1.83E-20,
COLEC12,FUCA1-hi MΦ-1,0.936,0.865,0.387240198,3.25E-24,1.19E-19,
SLC38A6,FUCA1-hi MΦ-1,0.992,0.989,0.200249755,4.53E-24,1.66E-19,
RGL1,FUCA1-hi MΦ-1,0.954,0.919,0.342341669,5.64E-24,2.06E-19,
DLEU1,FUCA1-hi MΦ-1,0.931,0.873,0.326176363,7.44E-24,2.72E-19,
PARP8,FUCA1-hi MΦ-1,0.949,0.935,0.328464629,1.94E-22,7.09E-18,
CPED1,FUCA1-hi MΦ-1,0.631,0.494,0.38756456,3.29E-22,1.20E-17,
AOAH,FUCA1-hi MΦ-1,0.911,0.856,0.293695599,5.08E-22,1.86E-17,
MRC1,FUCA1-hi MΦ-1,0.938,0.84,0.302282904,6.11E-22,2.23E-17,
APPL2,FUCA1-hi MΦ-1,0.84,0.796,0.301969726,6.05E-21,2.21E-16,
CCDC152,FUCA1-hi MΦ-1,0.534,0.395,0.357275827,6.88E-21,2.52E-16,
PELI1,FUCA1-hi MΦ-1,0.74,0.675,0.342597168,3.37E-20,1.23E-15,
ENTPD1,FUCA1-hi MΦ-1,0.685,0.567,0.359589381,5.42E-20,1.98E-15,
RAP2B,FUCA1-hi MΦ-1,0.847,0.799,0.286689736,1.45E-19,5.32E-15,
TNFAIP2,FUCA1-hi MΦ-1,0.932,0.911,0.249493294,1.52E-19,5.58E-15,
EEPD1,FUCA1-hi MΦ-1,0.97,0.961,0.22164516,2.58E-19,9.45E-15,
BNC2,FUCA1-hi MΦ-1,0.859,0.8,0.33453937,3.82E-19,1.40E-14,
FAM13A,FUCA1-hi MΦ-1,0.709,0.63,0.321202447,4.94E-19,1.81E-14,
ITSN1,FUCA1-hi MΦ-1,0.97,0.956,0.240769355,6.83E-19,2.50E-14,
KDM7A,FUCA1-hi MΦ-1,0.697,0.617,0.300728387,1.01E-18,3.68E-14,
ZEB2,FUCA1-hi MΦ-1,0.998,0.995,0.209058043,1.35E-18,4.93E-14,
ABCC5,FUCA1-hi MΦ-1,0.92,0.878,0.23484568,1.98E-18,7.24E-14,
MEF2C,FUCA1-hi MΦ-1,0.971,0.926,0.283595185,2.03E-18,7.42E-14,
SLC23A2,FUCA1-hi MΦ-1,0.932,0.918,0.256809242,2.84E-18,1.04E-13,
MEF2A,FUCA1-hi MΦ-1,0.989,0.991,0.194196348,5.23E-18,1.91E-13,
MGAT5,FUCA1-hi MΦ-1,0.986,0.977,0.203133139,7.09E-18,2.59E-13,
LDLRAD4,FUCA1-hi MΦ-1,0.98,0.971,0.223941029,1.08E-17,3.94E-13,
PPP1R21,FUCA1-hi MΦ-1,0.799,0.762,0.297427404,2.34E-17,8.56E-13,
ARHGAP26,FUCA1-hi MΦ-1,0.989,0.984,0.19404639,6.01E-17,2.20E-12,
ITGA9,FUCA1-hi MΦ-1,0.469,0.362,0.288657394,6.40E-17,2.34E-12,
TMCC1,FUCA1-hi MΦ-1,0.949,0.926,0.211686558,7.13E-17,2.61E-12,
CYBB,FUCA1-hi MΦ-1,0.894,0.803,0.294918289,1.59E-16,5.83E-12,
DLEU7,FUCA1-hi MΦ-1,0.573,0.485,0.275665111,1.61E-16,5.88E-12,
ANKRD12,FUCA1-hi MΦ-1,0.979,0.973,0.21326827,1.80E-16,6.59E-12,
DISC1,FUCA1-hi MΦ-1,0.924,0.904,0.260498602,2.47E-16,9.06E-12,
DOCK4,FUCA1-hi MΦ-1,0.997,0.994,0.13309882,3.05E-16,1.12E-11,
MT-ND3,FUCA1-hi MΦ-1,0.942,0.897,0.240409058,4.44E-16,1.63E-11,
NCOA2,FUCA1-hi MΦ-1,0.922,0.899,0.217433071,5.59E-16,2.04E-11,
PDGFC,FUCA1-hi MΦ-1,0.725,0.675,0.337370903,1.00E-15,3.67E-11,
MT-ND5,FUCA1-hi MΦ-1,0.898,0.819,0.201145524,1.16E-15,4.24E-11,
MBNL1,FUCA1-hi MΦ-1,0.996,0.993,0.168848932,2.79E-15,1.02E-10,
ADAM28,FUCA1-hi MΦ-1,0.723,0.657,0.29390271,4.80E-15,1.76E-10,
TGFBR1,FUCA1-hi MΦ-1,0.876,0.822,0.284396069,5.44E-15,1.99E-10,
EMB,FUCA1-hi MΦ-1,0.597,0.501,0.278047802,5.74E-15,2.10E-10,
GNG2,FUCA1-hi MΦ-1,0.584,0.505,0.362179232,8.56E-15,3.13E-10,
TBXAS1,FUCA1-hi MΦ-1,0.946,0.937,0.230998619,1.51E-14,5.51E-10,
P2RY6,FUCA1-hi MΦ-1,0.801,0.709,0.253912732,1.53E-14,5.61E-10,
STK3,FUCA1-hi MΦ-1,0.913,0.877,0.2132818,1.61E-14,5.90E-10,
TGFBR2,FUCA1-hi MΦ-1,0.896,0.846,0.25419296,2.03E-14,7.44E-10,
RERE,FUCA1-hi MΦ-1,0.952,0.944,0.196516878,2.22E-14,8.12E-10,
RNF13,FUCA1-hi MΦ-1,0.971,0.958,0.165361404,2.39E-14,8.76E-10,
GAS7,FUCA1-hi MΦ-1,0.99,0.985,0.146708949,2.63E-14,9.64E-10,
INPP4B,FUCA1-hi MΦ-1,0.463,0.36,0.282971541,2.67E-14,9.78E-10,
RNASE1,FUCA1-hi MΦ-1,0.925,0.858,0.271067243,3.43E-14,1.26E-09,
STX7,FUCA1-hi MΦ-1,0.923,0.923,0.217591885,3.61E-14,1.32E-09,
MAF,FUCA1-hi MΦ-1,0.764,0.702,0.270883652,3.76E-14,1.38E-09,
OSBPL1A,FUCA1-hi MΦ-1,0.861,0.84,0.260051105,3.86E-14,1.41E-09,
MT-CO1,FUCA1-hi MΦ-1,0.958,0.927,0.215137026,5.04E-14,1.85E-09,
NEAT1,FUCA1-hi MΦ-1,0.997,0.998,0.074078882,5.71E-14,2.09E-09,
MS4A4E,FUCA1-hi MΦ-1,0.32,0.214,0.260721404,5.86E-14,2.14E-09,
HS3ST2,FUCA1-hi MΦ-1,0.271,0.179,0.630777246,6.48E-14,2.37E-09,
HDAC9,FUCA1-hi MΦ-1,0.819,0.783,0.4160474,8.01E-14,2.93E-09,
GGA2,FUCA1-hi MΦ-1,0.744,0.694,0.224661481,8.01E-14,2.93E-09,
SLC18B1,FUCA1-hi MΦ-1,0.342,0.269,0.237211803,9.43E-14,3.45E-09,
SNX6,FUCA1-hi MΦ-1,0.882,0.863,0.258845541,1.27E-13,4.65E-09,
AC009690.2,FUCA1-hi MΦ-1,0.498,0.418,0.23357976,1.36E-13,4.98E-09,
ARHGAP18,FUCA1-hi MΦ-1,0.988,0.98,0.167884115,1.75E-13,6.40E-09,
MYCBP2,FUCA1-hi MΦ-1,0.959,0.947,0.175572668,2.09E-13,7.65E-09,
FCHSD2,FUCA1-hi MΦ-1,0.982,0.973,0.225147952,2.15E-13,7.88E-09,
CMTM7,FUCA1-hi MΦ-1,0.853,0.817,0.21517149,2.54E-13,9.30E-09,
ZFHX3,FUCA1-hi MΦ-1,0.938,0.937,0.220038751,3.00E-13,1.10E-08,
DPYD,FUCA1-hi MΦ-1,0.996,0.995,0.125791967,4.33E-13,1.59E-08,
SFMBT2,FUCA1-hi MΦ-1,0.962,0.955,0.248021104,4.91E-13,1.80E-08,
MANBA,FUCA1-hi MΦ-1,0.952,0.938,0.162002919,6.66E-13,2.44E-08,
LILRB5,FUCA1-hi MΦ-1,0.745,0.635,0.229701917,7.68E-13,2.81E-08,
SETDB2,FUCA1-hi MΦ-1,0.75,0.718,0.238330379,7.96E-13,2.91E-08,
C20orf194,FUCA1-hi MΦ-1,0.988,0.975,0.151552534,9.16E-13,3.35E-08,
LINC02456,FUCA1-hi MΦ-1,0.32,0.228,0.250055821,9.76E-13,3.57E-08,
HEXA,FUCA1-hi MΦ-1,0.856,0.825,0.244845725,1.12E-12,4.10E-08,
ANKUB1,FUCA1-hi MΦ-1,0.87,0.846,0.181675811,1.17E-12,4.26E-08,
CPNE8,FUCA1-hi MΦ-1,0.946,0.929,0.202116979,1.22E-12,4.47E-08,
RREB1,FUCA1-hi MΦ-1,0.948,0.946,0.15072325,1.27E-12,4.66E-08,
MIR99AHG,FUCA1-hi MΦ-1,0.438,0.342,0.386314886,1.41E-12,5.17E-08,
MT-ATP6,FUCA1-hi MΦ-1,0.947,0.911,0.214503503,1.55E-12,5.67E-08,
RNF135,FUCA1-hi MΦ-1,0.844,0.811,0.212121522,1.63E-12,5.96E-08,
MT-ND1,FUCA1-hi MΦ-1,0.904,0.842,0.169908383,1.63E-12,5.96E-08,
ABCA1,FUCA1-hi MΦ-1,0.989,0.984,0.125590186,1.90E-12,6.95E-08,
IDH1,FUCA1-hi MΦ-1,0.653,0.601,0.267418536,1.98E-12,7.24E-08,
WDR26,FUCA1-hi MΦ-1,0.921,0.899,0.188432459,2.16E-12,7.89E-08,
NRIP1,FUCA1-hi MΦ-1,0.906,0.887,0.222496783,2.92E-12,1.07E-07,
MT-ND2,FUCA1-hi MΦ-1,0.883,0.831,0.185227014,3.44E-12,1.26E-07,
HELZ,FUCA1-hi MΦ-1,0.951,0.948,0.198189273,3.55E-12,1.30E-07,
SAMD4A,FUCA1-hi MΦ-1,0.915,0.882,0.152758675,4.82E-12,1.76E-07,
NBPF1,FUCA1-hi MΦ-1,0.415,0.345,0.166774273,5.52E-12,2.02E-07,
AHR,FUCA1-hi MΦ-1,0.681,0.631,0.229790462,5.73E-12,2.10E-07,
CDA,FUCA1-hi MΦ-1,0.316,0.223,0.198736674,6.36E-12,2.33E-07,
ME1,FUCA1-hi MΦ-1,0.973,0.964,0.216710035,6.80E-12,2.49E-07,
EVI5,FUCA1-hi MΦ-1,0.946,0.935,0.184711093,7.26E-12,2.66E-07,
FTX,FUCA1-hi MΦ-1,0.988,0.988,0.106127655,7.27E-12,2.66E-07,
KLF7,FUCA1-hi MΦ-1,0.722,0.664,0.202465997,8.69E-12,3.18E-07,
REPS2,FUCA1-hi MΦ-1,0.459,0.4,0.210353293,8.75E-12,3.20E-07,
PPP3CA,FUCA1-hi MΦ-1,0.966,0.946,0.176261811,1.04E-11,3.81E-07,
CD163L1,FUCA1-hi MΦ-1,0.73,0.641,0.362732651,1.06E-11,3.89E-07,
CNOT2,FUCA1-hi MΦ-1,0.855,0.848,0.197670197,1.11E-11,4.08E-07,
MT-ND4,FUCA1-hi MΦ-1,0.932,0.896,0.157315267,1.30E-11,4.75E-07,
ATRN,FUCA1-hi MΦ-1,0.924,0.898,0.191617582,1.58E-11,5.80E-07,
MT-CYB,FUCA1-hi MΦ-1,0.928,0.874,0.166581227,1.78E-11,6.52E-07,
CREBRF,FUCA1-hi MΦ-1,0.624,0.548,0.202117876,1.79E-11,6.56E-07,
C9,FUCA1-hi MΦ-1,0.441,0.369,0.209844474,2.26E-11,8.28E-07,
CPVL,FUCA1-hi MΦ-1,0.809,0.746,0.236217557,2.52E-11,9.23E-07,
NFIA,FUCA1-hi MΦ-1,0.548,0.453,0.26778804,2.71E-11,9.93E-07,
ELMO1,FUCA1-hi MΦ-1,0.989,0.979,0.137056596,3.07E-11,1.12E-06,
EPS15,FUCA1-hi MΦ-1,0.938,0.92,0.223605164,3.56E-11,1.30E-06,
PHKB,FUCA1-hi MΦ-1,0.947,0.934,0.167838315,4.76E-11,1.74E-06,
FYB1,FUCA1-hi MΦ-1,0.972,0.955,0.180833996,5.53E-11,2.02E-06,
AP003086.1,FUCA1-hi MΦ-1,0.855,0.829,0.181015381,5.63E-11,2.06E-06,
CELF2,FUCA1-hi MΦ-1,0.985,0.965,0.113781275,6.78E-11,2.48E-06,
ITGA4,FUCA1-hi MΦ-1,0.872,0.815,0.239013378,7.36E-11,2.69E-06,
ASAH1,FUCA1-hi MΦ-1,0.897,0.887,0.184479132,8.27E-11,3.03E-06,
LACC1,FUCA1-hi MΦ-1,0.795,0.755,0.230252753,8.33E-11,3.05E-06,
ANTXR2,FUCA1-hi MΦ-1,0.885,0.875,0.216177976,8.46E-11,3.10E-06,
FGD3,FUCA1-hi MΦ-1,0.567,0.512,0.192668149,8.65E-11,3.17E-06,
KANSL1L,FUCA1-hi MΦ-1,0.796,0.779,0.191543247,9.94E-11,3.64E-06,
AP2A2,FUCA1-hi MΦ-1,0.907,0.871,0.199031697,1.06E-10,3.88E-06,
ATG4C,FUCA1-hi MΦ-1,0.689,0.67,0.242900015,1.14E-10,4.17E-06,
MED13L,FUCA1-hi MΦ-1,0.983,0.98,0.116177556,1.34E-10,4.89E-06,
MT-CO3,FUCA1-hi MΦ-1,0.939,0.912,0.152208868,1.52E-10,5.58E-06,
CCSER1,FUCA1-hi MΦ-1,0.57,0.518,0.334207316,1.54E-10,5.65E-06,
RCBTB2,FUCA1-hi MΦ-1,0.92,0.913,0.204686731,2.00E-10,7.34E-06,
ST8SIA4,FUCA1-hi MΦ-1,0.729,0.692,0.276314002,2.16E-10,7.90E-06,
NAIP,FUCA1-hi MΦ-1,0.808,0.76,0.202035031,2.25E-10,8.25E-06,
CARMIL1,FUCA1-hi MΦ-1,0.709,0.656,0.229877414,2.69E-10,9.85E-06,
PSTPIP2,FUCA1-hi MΦ-1,0.55,0.474,0.231172111,2.74E-10,1.00E-05,
SNX2,FUCA1-hi MΦ-1,0.936,0.92,0.183554014,3.11E-10,1.14E-05,
UBAC2,FUCA1-hi MΦ-1,0.871,0.863,0.19163629,3.37E-10,1.23E-05,
DOCK2,FUCA1-hi MΦ-1,0.989,0.986,0.098322818,3.43E-10,1.26E-05,
PLA2G4A,FUCA1-hi MΦ-1,0.676,0.625,0.249348839,3.84E-10,1.41E-05,
MT-CO2,FUCA1-hi MΦ-1,0.967,0.952,0.142732948,3.86E-10,1.41E-05,
CD200R1,FUCA1-hi MΦ-1,0.288,0.208,0.188912343,4.33E-10,1.58E-05,
DNM3,FUCA1-hi MΦ-1,0.748,0.707,0.188364635,4.35E-10,1.59E-05,
LRMP,FUCA1-hi MΦ-1,0.382,0.31,0.185510858,4.60E-10,1.68E-05,
AC069547.2,FUCA1-hi MΦ-1,0.301,0.23,0.148116677,4.67E-10,1.71E-05,
CMKLR1,FUCA1-hi MΦ-1,0.651,0.585,0.188391755,4.98E-10,1.82E-05,
SP100,FUCA1-hi MΦ-1,0.911,0.91,0.188403701,5.36E-10,1.96E-05,
STAB1,FUCA1-hi MΦ-1,0.991,0.946,0.130249221,6.13E-10,2.25E-05,
ZFP36L2,FUCA1-hi MΦ-1,0.684,0.635,0.269171744,6.23E-10,2.28E-05,
RB1,FUCA1-hi MΦ-1,0.977,0.972,0.162139955,7.02E-10,2.57E-05,
PDE4DIP,FUCA1-hi MΦ-1,0.767,0.737,0.190527832,7.48E-10,2.74E-05,
LIMD1,FUCA1-hi MΦ-1,0.735,0.697,0.184514471,8.35E-10,3.06E-05,
UTRN,FUCA1-hi MΦ-1,0.978,0.974,0.101350592,9.91E-10,3.63E-05,
MS4A7,FUCA1-hi MΦ-1,0.866,0.811,0.193940759,1.01E-09,3.69E-05,
HSPBAP1,FUCA1-hi MΦ-1,0.555,0.509,0.188975052,1.15E-09,4.20E-05,
SLC45A4,FUCA1-hi MΦ-1,0.337,0.277,0.173661598,1.17E-09,4.28E-05,
VPS8,FUCA1-hi MΦ-1,0.949,0.941,0.12552671,1.18E-09,4.31E-05,
STARD13-AS,FUCA1-hi MΦ-1,0.488,0.442,0.198296562,1.19E-09,4.34E-05,
VPS13C,FUCA1-hi MΦ-1,0.952,0.953,0.161639537,1.30E-09,4.74E-05,
ZSWIM6,FUCA1-hi MΦ-1,0.99,0.987,0.128535346,1.36E-09,4.99E-05,
PLXDC2,FUCA1-hi MΦ-1,0.997,0.995,0.087368921,1.49E-09,5.45E-05,
FRMD4B,FUCA1-hi MΦ-1,0.993,0.994,0.106526854,1.82E-09,6.65E-05,
MAML3,FUCA1-hi MΦ-1,0.781,0.738,0.264323266,2.09E-09,7.64E-05,
STK17B,FUCA1-hi MΦ-1,0.805,0.759,0.258301729,2.14E-09,7.84E-05,
CTSC,FUCA1-hi MΦ-1,0.769,0.726,0.255716257,2.40E-09,8.80E-05,
AAK1,FUCA1-hi MΦ-1,0.978,0.969,0.122114823,2.58E-09,9.43E-05,
TNFRSF14,FUCA1-hi MΦ-1,0.71,0.689,0.17887537,2.59E-09,9.49E-05,
PTEN,FUCA1-hi MΦ-1,0.885,0.883,0.183864557,2.98E-09,0.000109179,
BLVRB,FUCA1-hi MΦ-1,0.792,0.747,0.200136382,3.10E-09,0.000113545,
RCSD1,FUCA1-hi MΦ-1,0.63,0.578,0.229721931,3.91E-09,0.000143118,
SRGAP2,FUCA1-hi MΦ-1,0.919,0.911,0.180787087,4.27E-09,0.000156375,
RASAL1,FUCA1-hi MΦ-1,0.21,0.144,0.12161584,4.72E-09,0.000172867,
CEBPD,FUCA1-hi MΦ-1,0.54,0.49,0.207020318,5.11E-09,0.000187023,
LRRC8D,FUCA1-hi MΦ-1,0.739,0.717,0.192989314,5.13E-09,0.00018774,
ARHGAP15,FUCA1-hi MΦ-1,0.961,0.943,0.110791743,5.21E-09,0.000190819,
ARL 15.00,FUCA1-hi MΦ-1,0.986,0.989,0.094078314,5.57E-09,0.000203725,
AP1B1,FUCA1-hi MΦ-1,0.847,0.808,0.180684773,5.64E-09,0.000206324,
ADAP2,FUCA1-hi MΦ-1,0.962,0.942,0.155202257,5.68E-09,0.000207711,
MT-ATP8,FUCA1-hi MΦ-1,0.819,0.722,0.166734009,6.53E-09,0.000238916,
AL034397.3,FUCA1-hi MΦ-1,0.41,0.356,0.207891659,6.94E-09,0.000253973,
DENND1A,FUCA1-hi MΦ-1,0.953,0.934,0.14810722,7.17E-09,0.000262504,
FNBP1,FUCA1-hi MΦ-1,0.961,0.958,0.155623873,7.53E-09,0.000275713,
TRIM22,FUCA1-hi MΦ-1,0.577,0.529,0.192698227,7.77E-09,0.00028435,
ARHGAP25,FUCA1-hi MΦ-1,0.857,0.836,0.174029696,8.03E-09,0.000293733,
NCOA7,FUCA1-hi MΦ-1,0.802,0.794,0.257724023,8.43E-09,0.00030841,
MS4A4A,FUCA1-hi MΦ-1,0.618,0.54,0.210075657,9.22E-09,0.000337377,
BASP1,FUCA1-hi MΦ-1,0.65,0.629,0.20458526,9.78E-09,0.000358056,
GAB2,FUCA1-hi MΦ-1,0.971,0.969,0.139070275,1.08E-08,0.000394224,
LINC01176,FUCA1-hi MΦ-1,0.433,0.384,0.156438731,1.15E-08,0.00042,
FER,FUCA1-hi MΦ-1,0.896,0.9,0.170422946,1.27E-08,0.000465783,
PLCL2,FUCA1-hi MΦ-1,0.874,0.875,0.186590584,1.39E-08,0.000507139,
SLC2A9,FUCA1-hi MΦ-1,0.857,0.831,0.154850484,1.42E-08,0.000521177,
PARL,FUCA1-hi MΦ-1,0.676,0.653,0.188198162,1.47E-08,0.000538893,
PPP3R1,FUCA1-hi MΦ-1,0.808,0.82,0.251778673,1.50E-08,0.000550185,
ANKS1A,FUCA1-hi MΦ-1,0.856,0.849,0.172000964,1.53E-08,0.000558292,
ARL5A,FUCA1-hi MΦ-1,0.632,0.609,0.190969006,1.57E-08,0.000573239,
ABHD12,FUCA1-hi MΦ-1,0.921,0.924,0.175971229,1.81E-08,0.000662037,
